Material_Flag,V1 (m/s),b (mm),d12 (mm),d23 (mm),h1 (mm),h2 (mm),h3 (mm),beta1 (deg),Vc12 (m/s),Vc23 (m/s),T_Interface1 (K),T_Interface2 (K),Clearance_OK,Weldable
0,600.0,9.0,3.0,2.1666666666666665,0.8,1.15,1.15,18.434948822922014,936.433384775837,103.67062757808085,1000000000.0,0.39855742481744433,0,0
0,600.0,9.0,3.0,2.1666666666666665,0.8,1.15,1.5,18.434948822922014,936.433384775837,103.67062757808085,1000000000.0,0.39855742481744433,0,0
0,600.0,9.0,3.0,2.1666666666666665,0.8,1.5,0.8,18.434948822922014,936.433384775837,144.82717603923385,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,2.1666666666666665,0.8,1.5,1.15,18.434948822922014,936.433384775837,144.82717603923385,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,2.1666666666666665,0.8,1.5,1.5,18.434948822922014,936.433384775837,144.82717603923385,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,2.1666666666666665,1.15,0.8,0.8,18.434948822922014,936.433384775837,0.0,1000000000.0,0.0,0,0
0,600.0,9.0,3.0,2.1666666666666665,1.15,0.8,1.15,18.434948822922014,936.433384775837,0.0,1000000000.0,0.0,0,0
0,600.0,9.0,3.0,2.1666666666666665,1.15,0.8,1.5,18.434948822922014,936.433384775837,0.0,1000000000.0,0.0,0,0
0,600.0,9.0,3.0,2.1666666666666665,1.15,1.15,0.8,18.434948822922014,936.433384775837,103.67062757808085,1000000000.0,0.39855742481744433,0,0
0,600.0,9.0,3.0,2.1666666666666665,1.15,1.15,1.15,18.434948822922014,936.433384775837,103.67062757808085,1000000000.0,0.39855742481744433,0,0
0,600.0,9.0,3.0,2.1666666666666665,1.15,1.15,1.5,18.434948822922014,936.433384775837,103.67062757808085,1000000000.0,0.39855742481744433,0,0
0,600.0,9.0,3.0,2.1666666666666665,1.15,1.5,0.8,18.434948822922014,936.433384775837,144.82717603923385,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,2.1666666666666665,1.15,1.5,1.15,18.434948822922014,936.433384775837,144.82717603923385,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,2.1666666666666665,1.15,1.5,1.5,18.434948822922014,936.433384775837,144.82717603923385,1000000000.0,1000000000.0,0,0
0,600.0,9.0,3.0,2.1666666666666665,1.5,0.8,0.8,18.434948822922014,936.433384775837,0.0,1000000000.0,0.0,0,0
